extraction_date,platform,content,url
2025-07-25,LinkedIn,urn:li:activity:7335660073706233857,https://www.linkedin.com/feed/update/urn:li:activity:7335660073706233857?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7335000091063119872,https://www.linkedin.com/feed/update/urn:li:activity:7335000091063119872?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7339576655184580609,https://www.linkedin.com/feed/update/urn:li:activity:7339576655184580609?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7334841947850698753,https://www.linkedin.com/feed/update/urn:li:activity:7334841947850698753?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7334581879754387456,https://www.linkedin.com/feed/update/urn:li:activity:7334581879754387456?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7334076439807315968,https://www.linkedin.com/feed/update/urn:li:activity:7334076439807315968?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7339191608245895170,https://www.linkedin.com/feed/update/urn:li:activity:7339191608245895170?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7333719169915314176,https://www.linkedin.com/feed/update/urn:li:activity:7333719169915314176?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7333481325212954625,https://www.linkedin.com/feed/update/urn:li:activity:7333481325212954625?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7334444908394483712,https://www.linkedin.com/feed/update/urn:li:activity:7334444908394483712?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7333396825892093953,https://www.linkedin.com/feed/update/urn:li:activity:7333396825892093953?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7333057812870205441,https://www.linkedin.com/feed/update/urn:li:activity:7333057812870205441?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7336710141045612545,https://www.linkedin.com/feed/update/urn:li:activity:7336710141045612545?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7331706965942784002,https://www.linkedin.com/feed/update/urn:li:activity:7331706965942784002?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7331663561443704832,https://www.linkedin.com/feed/update/urn:li:activity:7331663561443704832?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7331575221444898816,https://www.linkedin.com/feed/update/urn:li:activity:7331575221444898816?collapsed=1
2025-07-25,LinkedIn,urn:li:activity:7331574055168303106,https://www.linkedin.com/feed/update/urn:li:activity:7331574055168303106?collapsed=1
